index,type,temp_max,temp_min,CET
0,Actual:,"4°","-1°","2014-01-01 00:00:00.000000"
1,Average:,"2°","-2°","2014-01-01 00:00:00.000000"
2,Actual:,"7°","1°","2014-01-02 00:00:00.000000"
3,Average:,"3°","-2°","2014-01-02 00:00:00.000000"
4,Actual:,"9°","3°","2014-01-03 00:00:00.000000"
5,Average:,"3°","-2°","2014-01-03 00:00:00.000000"
6,Actual:,"8°","4°","2014-01-04 00:00:00.000000"
7,Average:,"3°","-2°","2014-01-04 00:00:00.000000"
8,Actual:,"7°","2°","2014-01-05 00:00:00.000000"
9,Average:,"3°","-2°","2014-01-05 00:00:00.000000"
10,Actual:,"8°","1°","2014-01-06 00:00:00.000000"
11,Average:,"3°","-2°","2014-01-06 00:00:00.000000"
12,Actual:,"11°","7°","2014-01-07 00:00:00.000000"
13,Average:,"3°","-2°","2014-01-07 00:00:00.000000"
14,Actual:,"11°","5°","2014-01-08 00:00:00.000000"
15,Average:,"3°","-2°","2014-01-08 00:00:00.000000"
16,Actual:,"12°","4°","2014-01-09 00:00:00.000000"
17,Average:,"3°","-2°","2014-01-09 00:00:00.000000"
18,Actual:,"7°","5°","2014-01-10 00:00:00.000000"
19,Average:,"3°","-2°","2014-01-10 00:00:00.000000"
20,Actual:,"8°","3°","2014-01-11 00:00:00.000000"
21,Average:,"3°","-2°","2014-01-11 00:00:00.000000"
22,Actual:,"6°","1°","2014-01-12 00:00:00.000000"
23,Average:,"3°","-2°","2014-01-12 00:00:00.000000"
24,Actual:,"4°","-1°","2014-01-13 00:00:00.000000"
25,Average:,"3°","-2°","2014-01-13 00:00:00.000000"
26,Actual:,"6°","3°","2014-01-14 00:00:00.000000"
27,Average:,"4°","-1°","2014-01-14 00:00:00.000000"
28,Actual:,"4°","3°","2014-01-15 00:00:00.000000"
29,Average:,"4°","-1°","2014-01-15 00:00:00.000000"
30,Actual:,"4°","2°","2014-01-16 00:00:00.000000"
31,Average:,"4°","-1°","2014-01-16 00:00:00.000000"
32,Actual:,"8°","3°","2014-01-17 00:00:00.000000"
33,Average:,"4°","-1°","2014-01-17 00:00:00.000000"
34,Actual:,"6°","2°","2014-01-18 00:00:00.000000"
35,Average:,"4°","-1°","2014-01-18 00:00:00.000000"
36,Actual:,"2°","-3°","2014-01-19 00:00:00.000000"
37,Average:,"4°","-1°","2014-01-19 00:00:00.000000"
38,Actual:,"-2°","-3°","2014-01-20 00:00:00.000000"
39,Average:,"3°","-2°","2014-01-20 00:00:00.000000"
40,Actual:,"-2°","-5°","2014-01-21 00:00:00.000000"
41,Average:,"3°","-2°","2014-01-21 00:00:00.000000"
42,Actual:,"-4°","-6°","2014-01-22 00:00:00.000000"
43,Average:,"3°","-2°","2014-01-22 00:00:00.000000"
44,Actual:,"-5°","-6°","2014-01-23 00:00:00.000000"
45,Average:,"3°","-2°","2014-01-23 00:00:00.000000"
46,Actual:,"-6°","-12°","2014-01-24 00:00:00.000000"
47,Average:,"3°","-2°","2014-01-24 00:00:00.000000"
48,Actual:,"-8°","-14°","2014-01-25 00:00:00.000000"
49,Average:,"3°","-2°","2014-01-25 00:00:00.000000"
50,Actual:,"-9°","-14°","2014-01-26 00:00:00.000000"
51,Average:,"3°","-2°","2014-01-26 00:00:00.000000"
52,Actual:,"-2°","-11°","2014-01-27 00:00:00.000000"
53,Average:,"3°","-2°","2014-01-27 00:00:00.000000"
54,Actual:,"-1°","-5°","2014-01-28 00:00:00.000000"
55,Average:,"3°","-2°","2014-01-28 00:00:00.000000"
56,Actual:,"-5°","-7°","2014-01-29 00:00:00.000000"
57,Average:,"3°","-2°","2014-01-29 00:00:00.000000"
58,Actual:,"-3°","-7°","2014-01-30 00:00:00.000000"
59,Average:,"3°","-2°","2014-01-30 00:00:00.000000"
60,Actual:,"1°","-6°","2014-01-31 00:00:00.000000"
61,Average:,"3°","-2°","2014-01-31 00:00:00.000000"
0,Actual:,"6°","-2°","2014-02-01 00:00:00.000000"
1,Average:,"4°","-2°","2014-02-01 00:00:00.000000"
2,Actual:,"3°","2°","2014-02-02 00:00:00.000000"
3,Average:,"4°","-1°","2014-02-02 00:00:00.000000"
4,Actual:,"5°","1°","2014-02-03 00:00:00.000000"
5,Average:,"4°","-1°","2014-02-03 00:00:00.000000"
6,Actual:,"6°","-1°","2014-02-04 00:00:00.000000"
7,Average:,"4°","-1°","2014-02-04 00:00:00.000000"
8,Actual:,"5°","-2°","2014-02-05 00:00:00.000000"
9,Average:,"4°","-1°","2014-02-05 00:00:00.000000"
10,Actual:,"11°","1°","2014-02-06 00:00:00.000000"
11,Average:,"4°","-1°","2014-02-06 00:00:00.000000"
12,Actual:,"13°","4°","2014-02-07 00:00:00.000000"
13,Average:,"4°","-1°","2014-02-07 00:00:00.000000"
14,Actual:,"9°","3°","2014-02-08 00:00:00.000000"
15,Average:,"4°","-1°","2014-02-08 00:00:00.000000"
16,Actual:,"9°","3°","2014-02-09 00:00:00.000000"
17,Average:,"4°","-1°","2014-02-09 00:00:00.000000"
18,Actual:,"9°","1°","2014-02-10 00:00:00.000000"
19,Average:,"4°","-1°","2014-02-10 00:00:00.000000"
20,Actual:,"8°","3°","2014-02-11 00:00:00.000000"
21,Average:,"4°","-1°","2014-02-11 00:00:00.000000"
22,Actual:,"8°","2°","2014-02-12 00:00:00.000000"
23,Average:,"4°","-1°","2014-02-12 00:00:00.000000"
24,Actual:,"11°","1°","2014-02-13 00:00:00.000000"
25,Average:,"4°","-1°","2014-02-13 00:00:00.000000"
26,Actual:,"8°","3°","2014-02-14 00:00:00.000000"
27,Average:,"4°","-1°","2014-02-14 00:00:00.000000"
28,Actual:,"11°","4°","2014-02-15 00:00:00.000000"
29,Average:,"4°","-1°","2014-02-15 00:00:00.000000"
30,Actual:,"11°","4°","2014-02-16 00:00:00.000000"
31,Average:,"4°","-1°","2014-02-16 00:00:00.000000"
32,Actual:,"11°","-1°","2014-02-17 00:00:00.000000"
33,Average:,"4°","-1°","2014-02-17 00:00:00.000000"
34,Actual:,"9°","1°","2014-02-18 00:00:00.000000"
35,Average:,"4°","-1°","2014-02-18 00:00:00.000000"
36,Actual:,"8°","2°","2014-02-19 00:00:00.000000"
37,Average:,"4°","-1°","2014-02-19 00:00:00.000000"
38,Actual:,"11°","4°","2014-02-20 00:00:00.000000"
39,Average:,"4°","-1°","2014-02-20 00:00:00.000000"
40,Actual:,"11°","3°","2014-02-21 00:00:00.000000"
41,Average:,"4°","-1°","2014-02-21 00:00:00.000000"
42,Actual:,"11°","1°","2014-02-22 00:00:00.000000"
43,Average:,"4°","-1°","2014-02-22 00:00:00.000000"
44,Actual:,"10°","2°","2014-02-23 00:00:00.000000"
45,Average:,"4°","-2°","2014-02-23 00:00:00.000000"
46,Actual:,"13°","1°","2014-02-24 00:00:00.000000"
47,Average:,"4°","-2°","2014-02-24 00:00:00.000000"
48,Actual:,"13°","1°","2014-02-25 00:00:00.000000"
49,Average:,"4°","-2°","2014-02-25 00:00:00.000000"
50,Actual:,"14°","3°","2014-02-26 00:00:00.000000"
51,Average:,"4°","-2°","2014-02-26 00:00:00.000000"
52,Actual:,"11°","3°","2014-02-27 00:00:00.000000"
53,Average:,"4°","-2°","2014-02-27 00:00:00.000000"
54,Actual:,"8°","2°","2014-02-28 00:00:00.000000"
55,Average:,"4°","-2°","2014-02-28 00:00:00.000000"
0,Actual:,"11°","-1°","2014-03-01 00:00:00.000000"
1,Average:,"5°","-1°","2014-03-01 00:00:00.000000"
2,Actual:,"9°","2°","2014-03-02 00:00:00.000000"
3,Average:,"5°","-1°","2014-03-02 00:00:00.000000"
4,Actual:,"11°","2°","2014-03-03 00:00:00.000000"
5,Average:,"6°","-1°","2014-03-03 00:00:00.000000"
6,Actual:,"11°","4°","2014-03-04 00:00:00.000000"
7,Average:,"6°","-1°","2014-03-04 00:00:00.000000"
8,Actual:,"10°","3°","2014-03-05 00:00:00.000000"
9,Average:,"6°","-1°","2014-03-05 00:00:00.000000"
10,Actual:,"10°","2°","2014-03-06 00:00:00.000000"
11,Average:,"6°","-1°","2014-03-06 00:00:00.000000"
12,Actual:,"11°","-3°","2014-03-07 00:00:00.000000"
13,Average:,"7°","-1°","2014-03-07 00:00:00.000000"
14,Actual:,"13°","3°","2014-03-08 00:00:00.000000"
15,Average:,"7°","0°","2014-03-08 00:00:00.000000"
16,Actual:,"17°","2°","2014-03-09 00:00:00.000000"
17,Average:,"7°","0°","2014-03-09 00:00:00.000000"
18,Actual:,"17°","3°","2014-03-10 00:00:00.000000"
19,Average:,"7°","0°","2014-03-10 00:00:00.000000"
20,Actual:,"14°","1°","2014-03-11 00:00:00.000000"
21,Average:,"7°","1°","2014-03-11 00:00:00.000000"
22,Actual:,"15°","2°","2014-03-12 00:00:00.000000"
23,Average:,"7°","1°","2014-03-12 00:00:00.000000"
24,Actual:,"17°","-1°","2014-03-13 00:00:00.000000"
25,Average:,"7°","1°","2014-03-13 00:00:00.000000"
26,Actual:,"13°","-1°","2014-03-14 00:00:00.000000"
27,Average:,"7°","1°","2014-03-14 00:00:00.000000"
28,Actual:,"11°","5°","2014-03-15 00:00:00.000000"
29,Average:,"7°","1°","2014-03-15 00:00:00.000000"
30,Actual:,"11°","6°","2014-03-16 00:00:00.000000"
31,Average:,"7°","1°","2014-03-16 00:00:00.000000"
32,Actual:,"12°","8°","2014-03-17 00:00:00.000000"
33,Average:,"7°","0°","2014-03-17 00:00:00.000000"
34,Actual:,"13°","6°","2014-03-18 00:00:00.000000"
35,Average:,"7°","0°","2014-03-18 00:00:00.000000"
36,Actual:,"11°","7°","2014-03-19 00:00:00.000000"
37,Average:,"7°","0°","2014-03-19 00:00:00.000000"
38,Actual:,"19°","6°","2014-03-20 00:00:00.000000"
39,Average:,"7°","-1°","2014-03-20 00:00:00.000000"
40,Actual:,"22°","6°","2014-03-21 00:00:00.000000"
41,Average:,"7°","0°","2014-03-21 00:00:00.000000"
42,Actual:,"11°","4°","2014-03-22 00:00:00.000000"
43,Average:,"8°","0°","2014-03-22 00:00:00.000000"
44,Actual:,"9°","4°","2014-03-23 00:00:00.000000"
45,Average:,"8°","1°","2014-03-23 00:00:00.000000"
46,Actual:,"8°","2°","2014-03-24 00:00:00.000000"
47,Average:,"9°","1°","2014-03-24 00:00:00.000000"
48,Actual:,"8°","1°","2014-03-25 00:00:00.000000"
49,Average:,"9°","1°","2014-03-25 00:00:00.000000"
50,Actual:,"11°","1°","2014-03-26 00:00:00.000000"
51,Average:,"10°","2°","2014-03-26 00:00:00.000000"
52,Actual:,"12°","2°","2014-03-27 00:00:00.000000"
53,Average:,"11°","2°","2014-03-27 00:00:00.000000"
54,Actual:,"9°","3°","2014-03-28 00:00:00.000000"
55,Average:,"12°","2°","2014-03-28 00:00:00.000000"
56,Actual:,"16°","1°","2014-03-29 00:00:00.000000"
57,Average:,"12°","2°","2014-03-29 00:00:00.000000"
58,Actual:,"19°","6°","2014-03-30 00:00:00.000000"
59,Average:,"13°","3°","2014-03-30 00:00:00.000000"
60,Actual:,"16°","3°","2014-03-31 00:00:00.000000"
61,Average:,"13°","3°","2014-03-31 00:00:00.000000"
0,Actual:,"15°","3°","2014-04-01 00:00:00.000000"
1,Average:,"13°","3°","2014-04-01 00:00:00.000000"
2,Actual:,"19°","5°","2014-04-02 00:00:00.000000"
3,Average:,"12°","3°","2014-04-02 00:00:00.000000"
4,Actual:,"22°","8°","2014-04-03 00:00:00.000000"
5,Average:,"12°","3°","2014-04-03 00:00:00.000000"
6,Actual:,"12°","6°","2014-04-04 00:00:00.000000"
7,Average:,"12°","3°","2014-04-04 00:00:00.000000"
8,Actual:,"13°","7°","2014-04-05 00:00:00.000000"
9,Average:,"11°","3°","2014-04-05 00:00:00.000000"
10,Actual:,"18°","8°","2014-04-06 00:00:00.000000"
11,Average:,"11°","3°","2014-04-06 00:00:00.000000"
12,Actual:,"20°","12°","2014-04-07 00:00:00.000000"
13,Average:,"11°","2°","2014-04-07 00:00:00.000000"
14,Actual:,"18°","6°","2014-04-08 00:00:00.000000"
15,Average:,"11°","3°","2014-04-08 00:00:00.000000"
16,Actual:,"12°","5°","2014-04-09 00:00:00.000000"
17,Average:,"11°","3°","2014-04-09 00:00:00.000000"
18,Actual:,"9°","6°","2014-04-10 00:00:00.000000"
19,Average:,"11°","3°","2014-04-10 00:00:00.000000"
20,Actual:,"12°","3°","2014-04-11 00:00:00.000000"
21,Average:,"12°","3°","2014-04-11 00:00:00.000000"
22,Actual:,"15°","6°","2014-04-12 00:00:00.000000"
23,Average:,"12°","3°","2014-04-12 00:00:00.000000"
24,Actual:,"15°","7°","2014-04-13 00:00:00.000000"
25,Average:,"12°","3°","2014-04-13 00:00:00.000000"
26,Actual:,"11°","4°","2014-04-14 00:00:00.000000"
27,Average:,"12°","3°","2014-04-14 00:00:00.000000"
28,Actual:,"11°","4°","2014-04-15 00:00:00.000000"
29,Average:,"12°","3°","2014-04-15 00:00:00.000000"
30,Actual:,"13°","-1°","2014-04-16 00:00:00.000000"
31,Average:,"13°","3°","2014-04-16 00:00:00.000000"
32,Actual:,"14°","1°","2014-04-17 00:00:00.000000"
33,Average:,"13°","3°","2014-04-17 00:00:00.000000"
34,Actual:,"12°","6°","2014-04-18 00:00:00.000000"
35,Average:,"13°","3°","2014-04-18 00:00:00.000000"
36,Actual:,"21°","4°","2014-04-19 00:00:00.000000"
37,Average:,"13°","3°","2014-04-19 00:00:00.000000"
38,Actual:,"20°","11°","2014-04-20 00:00:00.000000"
39,Average:,"14°","4°","2014-04-20 00:00:00.000000"
40,Actual:,"18°","11°","2014-04-21 00:00:00.000000"
41,Average:,"14°","4°","2014-04-21 00:00:00.000000"
42,Actual:,"21°","11°","2014-04-22 00:00:00.000000"
43,Average:,"15°","5°","2014-04-22 00:00:00.000000"
44,Actual:,"20°","9°","2014-04-23 00:00:00.000000"
45,Average:,"16°","6°","2014-04-23 00:00:00.000000"
46,Actual:,"18°","8°","2014-04-24 00:00:00.000000"
47,Average:,"16°","6°","2014-04-24 00:00:00.000000"
48,Actual:,"22°","11°","2014-04-25 00:00:00.000000"
49,Average:,"16°","6°","2014-04-25 00:00:00.000000"
50,Actual:,"22°","9°","2014-04-26 00:00:00.000000"
51,Average:,"16°","7°","2014-04-26 00:00:00.000000"
52,Actual:,"19°","11°","2014-04-27 00:00:00.000000"
53,Average:,"17°","7°","2014-04-27 00:00:00.000000"
54,Actual:,"21°","11°","2014-04-28 00:00:00.000000"
55,Average:,"17°","7°","2014-04-28 00:00:00.000000"
56,Actual:,"22°","7°","2014-04-29 00:00:00.000000"
57,Average:,"17°","7°","2014-04-29 00:00:00.000000"
58,Actual:,"22°","11°","2014-04-30 00:00:00.000000"
59,Average:,"18°","8°","2014-04-30 00:00:00.000000"
0,Actual:,"20°","11°","2014-05-01 00:00:00.000000"
1,Average:,"18°","8°","2014-05-01 00:00:00.000000"
2,Actual:,"11°","4°","2014-05-02 00:00:00.000000"
3,Average:,"18°","8°","2014-05-02 00:00:00.000000"
4,Actual:,"14°","2°","2014-05-03 00:00:00.000000"
5,Average:,"18°","8°","2014-05-03 00:00:00.000000"
6,Actual:,"10°","1°","2014-05-04 00:00:00.000000"
7,Average:,"18°","8°","2014-05-04 00:00:00.000000"
8,Actual:,"14°","2°","2014-05-05 00:00:00.000000"
9,Average:,"18°","8°","2014-05-05 00:00:00.000000"
10,Actual:,"20°","6°","2014-05-06 00:00:00.000000"
11,Average:,"18°","8°","2014-05-06 00:00:00.000000"
12,Actual:,"19°","10°","2014-05-07 00:00:00.000000"
13,Average:,"18°","8°","2014-05-07 00:00:00.000000"
14,Actual:,"17°","8°","2014-05-08 00:00:00.000000"
15,Average:,"19°","8°","2014-05-08 00:00:00.000000"
16,Actual:,"19°","10°","2014-05-09 00:00:00.000000"
17,Average:,"19°","8°","2014-05-09 00:00:00.000000"
18,Actual:,"18°","8°","2014-05-10 00:00:00.000000"
19,Average:,"19°","8°","2014-05-10 00:00:00.000000"
20,Actual:,"16°","9°","2014-05-11 00:00:00.000000"
21,Average:,"19°","8°","2014-05-11 00:00:00.000000"
22,Actual:,"14°","9°","2014-05-12 00:00:00.000000"
23,Average:,"19°","8°","2014-05-12 00:00:00.000000"
24,Actual:,"15°","8°","2014-05-13 00:00:00.000000"
25,Average:,"19°","8°","2014-05-13 00:00:00.000000"
26,Actual:,"13°","6°","2014-05-14 00:00:00.000000"
27,Average:,"19°","8°","2014-05-14 00:00:00.000000"
28,Actual:,"16°","7°","2014-05-15 00:00:00.000000"
29,Average:,"19°","8°","2014-05-15 00:00:00.000000"
30,Actual:,"19°","6°","2014-05-16 00:00:00.000000"
31,Average:,"19°","9°","2014-05-16 00:00:00.000000"
32,Actual:,"21°","9°","2014-05-17 00:00:00.000000"
33,Average:,"19°","9°","2014-05-17 00:00:00.000000"
34,Actual:,"14°","9°","2014-05-18 00:00:00.000000"
35,Average:,"19°","9°","2014-05-18 00:00:00.000000"
36,Actual:,"20°","11°","2014-05-19 00:00:00.000000"
37,Average:,"19°","9°","2014-05-19 00:00:00.000000"
38,Actual:,"27°","11°","2014-05-20 00:00:00.000000"
39,Average:,"19°","9°","2014-05-20 00:00:00.000000"
40,Actual:,"28°","13°","2014-05-21 00:00:00.000000"
41,Average:,"19°","9°","2014-05-21 00:00:00.000000"
42,Actual:,"29°","18°","2014-05-22 00:00:00.000000"
43,Average:,"19°","9°","2014-05-22 00:00:00.000000"
44,Actual:,"24°","17°","2014-05-23 00:00:00.000000"
45,Average:,"19°","9°","2014-05-23 00:00:00.000000"
46,Actual:,"22°","13°","2014-05-24 00:00:00.000000"
47,Average:,"19°","9°","2014-05-24 00:00:00.000000"
48,Actual:,"24°","13°","2014-05-25 00:00:00.000000"
49,Average:,"19°","9°","2014-05-25 00:00:00.000000"
50,Actual:,"25°","15°","2014-05-26 00:00:00.000000"
51,Average:,"19°","9°","2014-05-26 00:00:00.000000"
52,Actual:,"21°","11°","2014-05-27 00:00:00.000000"
53,Average:,"19°","9°","2014-05-27 00:00:00.000000"
54,Actual:,"11°","8°","2014-05-28 00:00:00.000000"
55,Average:,"19°","9°","2014-05-28 00:00:00.000000"
56,Actual:,"11°","6°","2014-05-29 00:00:00.000000"
57,Average:,"19°","10°","2014-05-29 00:00:00.000000"
58,Actual:,"20°","3°","2014-05-30 00:00:00.000000"
59,Average:,"19°","10°","2014-05-30 00:00:00.000000"
60,Actual:,"21°","9°","2014-05-31 00:00:00.000000"
61,Average:,"19°","10°","2014-05-31 00:00:00.000000"
0,Actual:,"18°","8°","2014-06-01 00:00:00.000000"
1,Average:,"20°","11°","2014-06-01 00:00:00.000000"
2,Actual:,"20°","7°","2014-06-02 00:00:00.000000"
3,Average:,"20°","11°","2014-06-02 00:00:00.000000"
4,Actual:,"20°","12°","2014-06-03 00:00:00.000000"
5,Average:,"21°","11°","2014-06-03 00:00:00.000000"
6,Actual:,"22°","14°","2014-06-04 00:00:00.000000"
7,Average:,"21°","11°","2014-06-04 00:00:00.000000"
8,Actual:,"20°","13°","2014-06-05 00:00:00.000000"
9,Average:,"21°","11°","2014-06-05 00:00:00.000000"
10,Actual:,"24°","9°","2014-06-06 00:00:00.000000"
11,Average:,"21°","12°","2014-06-06 00:00:00.000000"
12,Actual:,"29°","13°","2014-06-07 00:00:00.000000"
13,Average:,"21°","12°","2014-06-07 00:00:00.000000"
14,Actual:,"33°","17°","2014-06-08 00:00:00.000000"
15,Average:,"21°","12°","2014-06-08 00:00:00.000000"
16,Actual:,"31°","18°","2014-06-09 00:00:00.000000"
17,Average:,"22°","12°","2014-06-09 00:00:00.000000"
18,Actual:,"31°","19°","2014-06-10 00:00:00.000000"
19,Average:,"22°","12°","2014-06-10 00:00:00.000000"
20,Actual:,"29°","19°","2014-06-11 00:00:00.000000"
21,Average:,"22°","12°","2014-06-11 00:00:00.000000"
22,Actual:,"21°","15°","2014-06-12 00:00:00.000000"
23,Average:,"22°","12°","2014-06-12 00:00:00.000000"
24,Actual:,"19°","12°","2014-06-13 00:00:00.000000"
25,Average:,"22°","12°","2014-06-13 00:00:00.000000"
26,Actual:,"19°","12°","2014-06-14 00:00:00.000000"
27,Average:,"22°","12°","2014-06-14 00:00:00.000000"
28,Actual:,"22°","8°","2014-06-15 00:00:00.000000"
29,Average:,"22°","12°","2014-06-15 00:00:00.000000"
30,Actual:,"21°","8°","2014-06-16 00:00:00.000000"
31,Average:,"22°","12°","2014-06-16 00:00:00.000000"
32,Actual:,"22°","13°","2014-06-17 00:00:00.000000"
33,Average:,"22°","12°","2014-06-17 00:00:00.000000"
34,Actual:,"24°","8°","2014-06-18 00:00:00.000000"
35,Average:,"22°","12°","2014-06-18 00:00:00.000000"
36,Actual:,"19°","13°","2014-06-19 00:00:00.000000"
37,Average:,"22°","12°","2014-06-19 00:00:00.000000"
38,Actual:,"19°","12°","2014-06-20 00:00:00.000000"
39,Average:,"22°","12°","2014-06-20 00:00:00.000000"
40,Actual:,"18°","11°","2014-06-21 00:00:00.000000"
41,Average:,"22°","12°","2014-06-21 00:00:00.000000"
42,Actual:,"19°","11°","2014-06-22 00:00:00.000000"
43,Average:,"22°","12°","2014-06-22 00:00:00.000000"
44,Actual:,"19°","9°","2014-06-23 00:00:00.000000"
45,Average:,"22°","12°","2014-06-23 00:00:00.000000"
46,Actual:,"18°","10°","2014-06-24 00:00:00.000000"
47,Average:,"22°","12°","2014-06-24 00:00:00.000000"
48,Actual:,"14°","11°","2014-06-25 00:00:00.000000"
49,Average:,"22°","12°","2014-06-25 00:00:00.000000"
50,Actual:,"20°","6°","2014-06-26 00:00:00.000000"
51,Average:,"22°","12°","2014-06-26 00:00:00.000000"
52,Actual:,"23°","8°","2014-06-27 00:00:00.000000"
53,Average:,"22°","12°","2014-06-27 00:00:00.000000"
54,Actual:,"24°","15°","2014-06-28 00:00:00.000000"
55,Average:,"22°","12°","2014-06-28 00:00:00.000000"
56,Actual:,"21°","14°","2014-06-29 00:00:00.000000"
57,Average:,"22°","12°","2014-06-29 00:00:00.000000"
58,Actual:,"20°","13°","2014-06-30 00:00:00.000000"
59,Average:,"22°","13°","2014-06-30 00:00:00.000000"
0,Actual:,"21°","10°","2014-07-01 00:00:00.000000"
1,Average:,"22°","13°","2014-07-01 00:00:00.000000"
2,Actual:,"21°","9°","2014-07-02 00:00:00.000000"
